Id,Date,Transaction
254,3/19,+98.89
255,8/5,-866.40
256,5/2,-38.18
257,10/13,-602.75
258,1/10,-759.29
259,7/9,-338.36
260,4/18,+796.74
261,9/24,-828.74
262,2/24,+77.73
263,11/26,+939.62
264,8/7,+538.95
265,4/6,-351.07
266,4/19,+266.77
267,5/13,-157.13
268,10/10,-541.38
269,11/20,+973.14
270,5/6,+407.01
271,2/19,-535.45
272,3/15,-220.48
273,12/10,+816.77
274,12/26,-681.98
275,8/18,-143.13
276,6/5,-932.54
277,7/18,+390.73
278,12/12,+150.82
279,6/2,+70.55
280,4/14,+466.68
281,9/21,+744.41
282,6/15,-301.32
283,1/26,+846.75
284,1/4,-473.48
285,10/21,+450.48
286,2/5,+226.47
287,5/1,+86.39
288,10/16,+345.40
289,9/12,-43.61
290,1/13,+581.65
291,7/24,-725.83
292,12/10,+535.75
293,2/18,-899.96
294,11/14,-27.63
295,10/22,-921.69
296,11/25,-475.33
297,5/17,-558.28
298,4/17,+962.53
299,11/25,-876.86
300,9/10,-821.08
301,3/20,+561.55
302,10/12,+234.60
303,12/1,-893.95
304,12/23,+378.45
305,9/18,-86.85
306,2/15,+362.48
307,10/27,+545.27
308,12/4,-957.75
309,1/2,-308.68
310,9/20,-800.43
311,1/24,-190.05
312,4/10,+297.29
313,11/20,-146.12
314,8/22,+851.83
315,1/25,+735.60
316,2/18,+344.67
317,2/17,-246.51
318,2/22,+587.60
319,9/4,+961.06
320,11/9,+954.24
321,3/10,+993.28
322,12/6,+519.98
323,4/14,-103.65
324,10/16,+360.68
325,2/20,+387.56
326,5/20,+322.36
327,10/9,-610.77
328,1/13,+396.38
329,4/23,+202.84
330,2/21,-799.53
331,2/7,-694.60
332,2/5,+98.73
333,11/1,-186.62
334,10/12,+856.32
335,9/1,+667.76
336,10/8,+394.25
337,5/18,-415.05
338,3/4,-145.95
339,9/11,+806.11
340,2/3,-437.31
341,7/1,-499.38
342,1/22,-773.09
343,7/17,-298.94
344,5/4,-817.04
345,8/5,-308.73
346,4/12,-681.90
347,4/19,-480.38
348,3/8,-832.87
349,5/15,+946.38
350,6/13,-23.02
351,7/5,+453.11
352,3/20,-151.04
353,1/23,+673.60
354,4/5,-44.97
355,11/26,+906.93
356,2/2,+672.97
357,9/8,+949.72
358,5/25,-432.54
359,6/13,-816.61
360,1/20,-959.69
361,6/20,+744.18
362,7/1,-844.83
363,2/20,+204.13
364,5/9,-802.90
365,9/11,-706.10
366,5/10,-48.39
367,7/23,+701.42
368,2/8,+368.60
369,6/9,+447.69
370,9/22,-971.13
371,7/2,-462.62
372,2/27,+801.46
373,7/10,+162.63
374,12/4,+178.37
375,9/12,+689.32
376,12/3,+303.19
377,4/7,+133.23
378,8/3,+60.74
379,8/19,+660.39
380,7/26,+371.66
381,4/21,-259.59
382,1/12,-798.75
383,11/21,-466.83
384,5/22,-56.35
385,6/8,+356.32
386,12/25,+43.43
387,1/25,-924.35
388,4/16,-979.33
389,3/5,-45.88
390,4/10,+566.25
391,8/14,+141.93
392,1/9,-794.78
393,3/5,+142.61
394,7/15,-25.58
395,5/24,+948.54
396,2/27,+62.75
397,8/18,-971.69
398,3/23,-877.01
399,11/8,-693.04
400,11/9,+807.33
401,3/10,-538.78
402,10/19,+53.10
403,7/9,+827.24
404,6/19,+857.57
405,2/1,-8.65
406,3/1,-566.96
407,1/1,+180.62
408,3/13,-889.28
409,8/15,-952.69
410,8/19,+708.34
411,2/5,+434.74
412,9/25,-501.51
413,7/24,+384.50
414,12/24,-410.14
415,4/6,-421.69
416,9/4,-758.57
417,1/11,-402.72
418,1/8,-604.95
419,9/5,-547.56
420,2/1,+489.23
421,5/1,+178.16
422,4/13,+448.43
423,7/14,-969.53
424,9/12,-238.63
425,12/15,-120.89
426,1/4,+111.87
427,10/6,-15.56
428,3/3,+713.79
429,12/10,-348.61
430,5/23,+645.10
431,9/2,+86.71
432,5/25,-656.69
433,8/13,-802.43
434,5/4,+498.02
435,3/9,+69.43
436,12/3,+529.00
437,1/19,-2.41
438,11/1,+863.03
439,7/26,+208.37
440,11/12,+836.05
441,6/17,-568.40
442,7/10,-802.53
443,9/26,-802.15
444,4/25,-439.28
445,11/22,+605.22
446,6/1,+83.88
447,1/26,+791.94
448,5/24,+114.95
449,8/16,-709.95
450,6/2,-473.86
451,2/14,-989.10
452,4/19,-401.38
453,11/8,+98.89
454,4/24,+579.41
455,2/25,+4.45
456,10/20,+62.37
457,11/16,+769.63
458,7/7,+108.70
459,7/19,-484.64
460,3/23,+567.77
461,4/26,-807.69
462,2/21,-426.81
463,12/17,-250.30
464,11/20,+761.35
465,12/21,+610.09
466,5/15,-492.58
467,8/21,+537.44
468,9/16,+360.53
469,9/1,+99.48
470,7/1,-14.26
471,6/18,-506.02
472,10/6,-746.42
473,1/9,+689.24
474,7/10,-926.19
475,11/19,-997.56
476,2/25,+279.65
477,4/5,-721.77
478,8/8,-334.13
479,10/7,-733.17
480,5/2,-987.48
481,2/11,+356.87
482,8/11,+352.77
483,5/25,-306.78
484,4/18,-971.50
485,3/7,-714.58
486,2/27,+799.15
487,3/20,+177.70
488,9/12,+601.63
489,7/2,+665.95
490,3/18,-561.12
491,9/3,+532.74
492,9/6,-667.93
493,9/3,-0.30
494,6/21,-903.06
495,6/26,-519.66
496,11/3,-547.13
497,2/2,+350.08
498,8/18,+450.61
499,12/8,+825.18
500,5/12,-509.26
501,1/20,+77.99
502,7/26,-861.74
503,2/4,+412.94
504,7/14,-277.82
505,1/1,+678.90
506,7/23,-451.10
507,5/11,+908.71
508,3/6,+957.33
509,7/9,+452.96
510,5/10,-607.05
511,2/22,-827.53
512,4/7,+238.89
513,11/14,-417.04
514,11/2,-554.52
515,5/2,-682.56
516,10/1,-711.53
517,3/15,+367.57
518,8/13,-838.91
519,10/13,+5.26
520,9/8,+745.87
521,8/9,+821.40
522,4/26,-801.34
523,3/18,-766.01
524,5/21,-65.90
525,2/10,-150.01
526,8/23,-345.49
527,6/11,+161.07
528,9/10,-850.19
529,10/20,-816.61
530,10/20,+191.72
531,6/13,-928.23
532,9/8,+731.80
533,5/15,+124.00
534,10/19,-505.20
535,4/17,-757.61
536,9/6,-721.36
537,1/6,-898.83
538,4/14,+552.39
539,12/10,+582.58
540,4/24,-263.11
541,12/22,-861.91
542,4/16,-779.97
543,10/20,-430.61
544,3/18,+884.43
545,11/15,-577.92
546,5/27,-738.29
547,3/18,-617.55
548,5/4,+483.15
549,6/26,+655.75
550,12/15,-128.31
551,2/16,+619.02
552,5/14,-56.96
553,2/16,+352.86
554,5/19,-974.26
555,12/2,-893.00
556,6/10,-672.95
557,9/9,+118.73
558,9/5,-822.46
559,6/18,+403.39
560,8/19,+201.83
561,9/27,+861.40
562,10/2,+437.36
563,9/18,+529.49
564,3/2,-684.51
565,12/12,-875.50
566,9/3,+620.89
567,4/6,-130.01
568,4/10,-296.69
569,2/26,+994.57
570,12/18,-421.26
571,8/7,-233.99
572,1/24,+60.87
573,7/7,+146.28
574,9/12,-285.72
575,11/16,-405.20
576,4/23,-589.58
577,6/3,-423.74
578,6/12,-41.38
579,7/26,+197.15
580,9/2,+185.20
581,12/3,+664.96
582,11/17,+118.83
583,12/22,+504.95
584,7/14,-501.23
585,11/1,+52.02
586,3/20,+576.91
587,7/20,-188.97
588,1/22,+145.75
589,10/14,+979.95
590,7/27,-246.55
591,2/7,-319.28
592,8/23,-895.94
593,5/23,+358.46
594,7/6,-770.20
595,10/22,-501.58
596,9/12,+661.32
597,4/12,+906.79
598,9/12,-52.09
599,4/4,-363.50
600,5/26,+599.40
601,8/11,-589.18
602,2/13,+840.99
603,12/11,+431.36
604,10/21,-488.38
605,8/18,+954.54
606,12/15,+973.82
607,11/23,-293.10
608,9/5,+710.77
609,8/13,+718.74
610,9/5,+531.12
611,4/6,-729.05
612,4/8,-447.69
613,5/3,-761.76
614,3/22,-673.43
615,10/18,-787.89
616,7/3,+350.44
617,6/6,-932.44
618,9/5,-312.29
619,9/7,-10.63
620,7/16,+149.72
621,6/14,+929.34
622,2/5,-174.04
623,4/5,-561.21
624,3/4,+331.36
625,12/15,+106.98
626,7/4,+645.54
627,1/17,+581.87
628,9/5,-714.46
629,2/24,-536.57
630,8/9,-299.23
631,4/4,+125.23
632,5/7,-211.80
633,11/5,-65.25
634,8/24,+630.99
635,5/6,+872.40
636,2/21,+363.01
637,11/10,+608.98
638,2/7,+994.62
639,7/9,+149.17
640,8/3,-846.21
641,6/12,+332.92
642,5/2,-182.11
643,6/1,+848.69
644,1/17,+789.10
645,9/18,-895.51
646,9/7,-503.48
647,8/18,+424.92
648,4/21,+735.64
649,7/15,+289.71
650,6/12,+181.92
651,9/11,+734.73
652,6/6,+702.13
653,8/15,+482.82
654,5/1,+908.03
655,7/4,+35.16
656,12/5,-767.21
657,8/7,+854.76
658,2/27,-271.10
659,7/19,+347.25
660,7/2,+5.35
661,9/19,+338.62
662,6/3,-984.99
663,5/13,+455.60
664,3/5,+534.00
665,12/23,-960.92
666,7/2,+675.87
667,12/24,-220.96
668,8/5,+565.59
669,10/3,-758.50
670,8/14,+47.01
671,12/21,+72.28
672,4/17,+880.40
673,9/8,+679.36
674,7/20,+366.33
675,8/5,-942.62
676,1/8,+73.61
677,1/27,+285.57
678,10/20,-185.13
679,4/10,+552.65
680,10/18,+236.52
681,10/27,-422.35
682,11/24,-620.13
683,11/4,-709.88
684,4/2,-685.11
685,3/27,+865.05
686,12/21,+309.00
687,5/15,-264.49
688,9/14,+550.72
689,3/22,+851.12
690,6/15,+478.83
691,1/13,-174.86
692,4/21,-299.62
693,9/25,+82.06
694,9/14,+164.51
695,8/21,+543.04
696,7/5,+284.15
697,7/7,-506.89
698,3/10,+819.20
699,4/16,+394.43
700,1/13,+235.04
701,8/15,-318.29
702,7/6,+929.53
703,11/7,+303.38
704,7/21,-621.28
705,6/19,+928.00
706,5/3,+858.74
707,3/19,-198.49
708,5/6,-813.57
709,4/13,+734.80
710,4/2,+425.26
711,5/24,+342.78
712,5/9,-535.44
713,5/2,+421.41
714,11/13,-764.84
715,10/3,-152.95
716,7/3,+444.77
717,9/23,+189.06
718,7/4,-594.38
719,4/2,-794.43
720,1/26,+653.30
721,1/17,+574.66
722,1/6,+170.94
723,5/2,+679.85
724,9/17,+705.45
725,4/7,+817.92
726,8/3,-274.12
727,9/14,-607.35
728,8/19,-315.08
729,8/3,-793.10
730,9/25,-469.76
731,11/12,+829.45
732,11/6,+934.88
733,8/5,+681.77
734,2/24,-975.48
735,5/26,-447.29
736,6/21,+167.81
737,9/21,-631.97
738,6/20,-882.01
739,5/17,-416.56
740,5/13,-709.87
741,3/5,+490.51
742,11/8,+174.04
743,8/22,-544.46
744,12/4,+228.51
745,9/1,+466.98
746,11/1,-109.94
747,5/20,+510.19
748,3/23,-618.64
749,11/15,+434.81
750,3/1,-401.66
751,11/17,+791.34
752,9/19,+379.69
753,4/24,-461.83
754,10/5,-544.45
755,9/1,-757.65
756,3/5,-165.30
757,3/18,-212.05
758,10/3,-996.01
759,12/9,+833.84
760,7/25,-650.64
761,6/13,-214.74
762,3/19,-932.38
763,4/23,-111.31
764,2/10,-237.66
765,8/21,+431.58
766,6/17,+142.52
767,9/21,-479.56
768,9/12,+802.81
769,11/1,-932.24
770,2/5,-726.69
771,3/24,-956.69
772,7/22,-536.89
773,2/3,-877.38
774,10/21,+207.92
775,11/14,+173.01
776,7/3,+420.79
777,12/3,-441.53
778,3/18,-65.46
779,1/2,-122.96
780,3/18,+783.74
781,4/23,-751.44
782,7/8,+617.58
783,2/13,-301.06
784,12/19,+571.44
785,3/11,+596.53
786,1/21,+365.27
787,8/9,+36.52
788,11/14,+665.71
789,9/5,-202.56
790,5/16,+478.16
791,8/12,+802.47
792,2/10,+742.73
793,9/26,+458.18
794,9/3,-905.21
795,4/15,+964.23
796,8/27,-492.93
797,6/6,-713.22
798,3/20,+800.15
799,6/20,+52.85
800,6/21,-555.85
801,5/24,+688.81
802,8/13,+782.13
803,1/16,+735.98
804,11/13,-487.34
805,5/26,+545.07
806,11/17,-429.93
807,12/11,+833.93
808,10/11,-200.79
809,12/27,-953.95
810,4/18,+735.27
811,6/18,+940.46
812,4/21,-953.43
813,11/11,+127.16
814,7/4,+103.14
815,3/10,-543.32
816,2/12,+260.64
817,8/23,+654.15
818,5/11,-954.47
819,6/6,-288.63
820,8/21,+525.28
821,6/2,-472.52
822,8/27,+704.21
823,1/10,+770.71
824,2/21,-951.37
825,1/17,-76.85
826,11/26,+924.74
827,8/3,-244.43
828,5/11,-134.93
829,4/16,+0.80
830,10/12,+526.51
831,4/12,+453.00
832,10/17,-452.66
833,8/24,+810.99
834,6/27,-299.67
835,5/8,-818.82
836,5/11,+208.72
837,8/15,-450.18
838,4/24,-608.29
839,3/21,+686.22
840,8/22,+789.61
841,5/11,+595.82
842,6/19,+998.28
843,5/18,+718.73
844,4/2,+400.50
845,7/27,+809.71
846,10/14,+673.00
847,3/22,-382.20
848,6/10,-919.82
849,12/2,-292.19
850,9/10,-104.72
851,3/14,-36.15
852,12/17,-985.20
853,8/23,-494.17
854,12/6,+713.39
855,7/10,+424.99
856,9/13,-634.50
857,10/14,+848.56
858,10/19,+421.52
859,4/3,-665.99
860,1/6,-8.87
861,10/9,+890.60
862,12/22,-60.89
863,6/21,-247.45
864,11/25,-328.43
865,9/26,-576.01
866,1/12,+89.10
867,7/14,+904.77
868,5/3,-712.72
869,2/11,+864.29
870,5/10,-457.52
871,5/8,+942.81
872,9/19,+883.57
873,5/5,-193.52
874,8/7,-198.90
875,3/2,+52.84
876,6/11,+158.28
877,7/15,+835.48
878,12/14,-305.22
879,10/9,+990.91
880,6/13,-710.89
881,6/4,-152.47
882,2/8,-27.90
883,2/20,+484.45
884,4/7,+797.90
885,5/11,-545.32
886,9/17,+292.41
887,3/8,-941.19
888,11/4,-580.52
889,8/4,+414.17
890,7/6,-333.59
891,9/21,-588.66
892,11/13,-677.49
893,2/8,+768.20
894,9/7,-61.66
895,7/18,+843.10
896,9/7,+640.93
897,10/22,+640.25
898,5/27,+780.34
899,4/24,-366.57
900,3/23,+397.70
901,10/5,-629.78
902,5/10,-899.13
903,12/5,-839.16
904,10/24,+82.95
905,11/20,-693.84
906,2/16,-322.69
907,6/20,+683.64
908,4/9,-864.14
909,5/13,-112.48
910,11/7,-903.32
911,10/12,-97.92
912,12/19,-574.82
913,10/18,-836.58
914,6/22,-584.14
915,6/19,-989.88
916,5/24,+349.17
917,3/21,+519.23
918,6/19,-559.86
919,11/22,+135.38
920,6/26,+246.38
921,6/8,+103.57
922,1/18,-675.03
923,7/22,+76.59
924,3/11,-44.73
925,4/5,-811.00
926,12/23,+620.02
927,4/19,+433.43
928,7/4,+86.67
929,11/22,-265.95
930,10/10,+207.25
931,11/23,-877.96
932,7/15,+817.13
933,12/27,-26.94
934,2/2,-314.45
935,8/20,-941.84
936,2/9,-524.16
937,4/14,-12.24
938,1/3,+515.32
939,12/2,+69.67
940,2/10,-486.93
941,9/2,+313.85
942,8/26,+486.92
943,4/20,-691.85
944,3/2,+564.50
945,4/3,-909.31
946,9/26,-318.26
947,5/6,+143.44
948,3/8,+198.94
949,1/3,-954.87
950,3/17,-864.69
951,8/4,-91.16
952,12/17,-589.55
953,1/13,+556.74
954,10/27,+444.38
955,11/11,-554.87
956,8/18,-928.52
957,3/1,-989.97
958,1/17,-851.35
959,4/5,+84.99
960,3/16,+714.65
961,12/23,+660.52
962,12/3,-726.35
963,7/1,+682.91
964,11/3,-274.27
965,4/10,-998.69
966,9/2,+354.31
967,11/1,+850.63
968,5/3,-668.88
969,10/9,+882.27
970,11/3,+758.63
971,8/17,-385.94
972,12/23,-759.40
973,9/18,-582.11
974,6/27,+78.99
975,11/21,-459.31
976,1/7,-398.15
977,8/2,-509.81
978,3/10,+273.96
979,5/4,+688.34
980,8/16,-106.80
981,1/15,+514.44
982,4/27,-971.02
983,9/13,+335.89
984,8/11,+124.08
985,4/15,+563.73
986,8/21,+2.10
987,7/24,+786.08
988,12/25,-544.87
989,3/18,+210.12
990,7/22,-416.16
991,4/17,-508.35
992,8/10,-16.46
993,2/27,-249.56
994,9/5,-567.82
995,1/25,-805.72
996,9/18,-420.72
997,1/27,-987.55
998,8/27,+40.48
999,11/14,+930.53
1000,7/27,-611.95
